jaffe
11.941,1
8.692,1
11.379,0.8
5.418,0.866667
7.865,0.866667
17.784,0.733333
6.902,0.8
5.705,0.733333
12.924,0.933333
19.412,0.666667
cifar
123.464,0.5835
167.708,0.599
118.511,0.6375
153.012,0.617
259.6,0.6265
88.004,0.6295
183.977,0.623
195.776,0.633
65.205,0.6005
88.836,0.6245
kth
141.687,0.907407
153.057,0.939815
57.615,0.865741
122.634,0.902778
233.652,0.944444
104.802,0.888889
77.766,0.916667
110.98,0.893519
140.168,0.930556
138.971,0.907407
coil
22.461,1
18.347,1
31.713,1
24.449,1
27.006,1
24.135,1
19.989,1
18.668,1
19.129,1
16.616,1
mnist
261.623,0.999054
315.542,0.997163
279.665,0.999054
233.441,0.997636
325.892,0.997636
273.814,0.997636
159.617,0.998582
328.995,0.999054
68.6,0.951773
187.823,0.999054
uiuc
40.285,0.948
40.404,0.952
33.887,0.956
43.37,0.944
47.397,0.956
31.294,0.956
33.697,0.944
63.325,0.972
37.898,0.968
20.242,0.936
